Data,#Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,FB,HBOS,IForest,KNN,LOF,MCD,OCSVM,PCA
arrhythmia,452,274,14.6018,0.28639,0.26139,0.52322,0.22989000000000007,0.3420500000000001,0.07777999999999999,0.06954999999999999,2.0825900000000006,0.04242999999999999,0.08978
cardio,1831,21,9.6122,0.31954999999999995,0.12249999999999998,0.65966,0.00983,0.34746,0.13025,0.08485,0.79123,0.06619,0.0052899999999999996
glass,214,9,4.2056,0.03330999999999999,0.0421,0.03260999999999999,0.0023,0.23995000000000002,0.013479999999999997,0.0032,0.04692,0.0015000000000000002,0.0011000000000000003
ionosphere,351,33,35.8974,0.05344,0.050370000000000005,0.062029999999999995,0.008650000000000001,0.2597299999999999,0.018109999999999998,0.0074800000000000005,0.16307,0.007690000000000001,0.0031700000000000005
letter,1600,32,6.25,0.29905,0.1079,0.62553,0.011810000000000001,0.35129,0.11866000000000002,0.08094000000000001,2.8285299999999998,0.06675999999999999,0.00817
lympho,148,18,4.0541,0.0225,0.0402,0.02963,0.004490000000000001,0.24299000000000004,0.00912,0.0030999999999999995,0.05990000000000001,0.0013000000000000002,0.0015000000000000002
mnist,7603,100,9.2069,6.43488,1.04399,41.35164999999999,0.06608,1.6168,6.118039999999999,5.6541,9.180420000000002,4.12927,0.13924
musk,3062,166,3.1679,1.9423599999999996,0.34947,11.429770000000001,0.059919999999999994,1.0499100000000001,1.6044399999999999,1.57327,40.57188,1.10935,0.16906000000000004
optdigits,5216,64,2.8758,2.33769,0.4531399999999999,11.34092,0.03749,0.8077499999999999,1.7145699999999997,1.53246,3.96008,1.2883600000000002,0.05576
